id,source,requirement,domain,phase,kind,status,evidence
ACC-01,PRD §28.1,Every governed entity has one documented authoritative domain,platform,0-7,ACCEPTANCE,PLANNED,
ACC-02,PRD §28.2,No domain writes another domain's persistence,platform,0-7,ACCEPTANCE,PLANNED,
ACC-03,PRD §28.3,Every tenant/company/project record carries and validates explicit scope,platform,0-7,ACCEPTANCE,PLANNED,
ACC-04,PRD §28.4,Every cross-domain write uses a source-owned application/API/command contract,platform,0-7,ACCEPTANCE,PLANNED,
ACC-05,PRD §28.5,Every committed cross-domain fact uses transactional outbox or approved equivalent,platform,0-7,ACCEPTANCE,PLANNED,
ACC-06,PRD §28.6,Every consumer is idempotent and passes duplicate/out-of-order tests,platform,0-7,ACCEPTANCE,PLANNED,
ACC-07,PRD §28.7,"Every API, command, event and projection is versioned and registered",platform,0-7,ACCEPTANCE,PLANNED,
ACC-08,PRD §28.8,"Every projection identifies source, source version and freshness",platform,0-7,ACCEPTANCE,PLANNED,
ACC-09,PRD §28.9,Authorization is enforced before record/field retrieval and aggregation,platform,0-7,ACCEPTANCE,PLANNED,
ACC-10,PRD §28.10,"Assignment, connection, notification or linked IDs never grant transitive access",platform,0-7,ACCEPTANCE,PLANNED,
ACC-11,PRD §28.11,"Permission revocation propagates to APIs, sessions, caches, search, portals and files",platform,0-7,ACCEPTANCE,PLANNED,
ACC-12,PRD §28.12,Platform Admin has no routine operational tenant access,platform,0-7,ACCEPTANCE,PLANNED,
ACC-13,PRD §28.13,Exactly one Primary Owner per live company; Admin cannot assume Owner authority,platform,0-7,ACCEPTANCE,PLANNED,
ACC-14,PRD §28.14,Money is fixed precision with explicit currency; posted entries immutable/reversed,platform,0-7,ACCEPTANCE,PLANNED,
ACC-15,PRD §28.15,Controlled Document revisions and submitted external records remain immutable,platform,0-7,ACCEPTANCE,PLANNED,
ACC-16,PRD §28.16,Workflow approval and source business finalization are separate and reconciled,platform,0-7,ACCEPTANCE,PLANNED,
ACC-17,PRD §28.17,"Portal users can modify only external submission aggregates, not internal records",platform,0-7,ACCEPTANCE,PLANNED,
ACC-18,PRD §28.18,Tender bids are immutable after submission and the winner requires approval,platform,0-7,ACCEPTANCE,PLANNED,
ACC-19,PRD §28.19,Hiring does not create access automatically,platform,0-7,ACCEPTANCE,PLANNED,
ACC-20,PRD §28.20,Company/professional connections do not grant ERP/project access,platform,0-7,ACCEPTANCE,PLANNED,
ACC-21,PRD §28.21,"Search, reporting and dashboard totals are permission-filtered before computation",platform,0-7,ACCEPTANCE,PLANNED,
ACC-22,PRD §28.22,All sensitive mutations create append-only audit evidence,platform,0-7,ACCEPTANCE,PLANNED,
ACC-23,PRD §28.23,One correlation ID traces synchronous/asynchronous business flows,platform,0-7,ACCEPTANCE,PLANNED,
ACC-24,PRD §28.24,"Dead-letter, replay, rebuild and reconciliation actions are permissioned and audited",platform,0-7,ACCEPTANCE,PLANNED,
ACC-25,PRD §28.25,"English/Albanian, responsive and WCAG 2.2 AA critical flows pass acceptance",platform,0-7,ACCEPTANCE,PLANNED,
ACC-26,PRD §28.26,"Cross-tenant, cross-company, cross-project and external isolation suites pass with zero leakage",platform,0-7,ACCEPTANCE,PLANNED,
ACC-27,PRD §28.27,"Production backup/restore, RPO/RTO and incident runbooks are verified",platform,0-7,ACCEPTANCE,PLANNED,
ISO-01,PRD §26.2,Company A cannot read Company B list/detail,platform,0,ISOLATION,PLANNED,
ISO-02,PRD §26.2,Company A cannot create a record referencing Company B ID,platform,0,ISOLATION,PLANNED,
ISO-03,PRD §26.2,Company A cannot update/delete/archive Company B record,platform,0,ISOLATION,PLANNED,
ISO-04,PRD §26.2,Company A cannot infer Company B through count/facet/search/autocomplete,platform,0,ISOLATION,PLANNED,
ISO-05,PRD §26.2,Project A member cannot access unauthorized Project B,platform,0,ISOLATION,PLANNED,
ISO-06,PRD §26.2,External Company B sees only published scope from Company A,platform,0,ISOLATION,PLANNED,
ISO-07,PRD §26.2,Public user sees only published profile/job data,platform,0,ISOLATION,PLANNED,
ISO-08,PRD §26.2,Job/export/import/event replay cannot cross scope,platform,0,ISOLATION,PLANNED,
ISO-09,PRD §26.2,Signed file URL cannot be obtained or reused after revocation,platform,0,ISOLATION,PLANNED,
ISO-10,PRD §26.2,Cache and analytics do not retain revoked data,platform,0,ISOLATION,PLANNED,
E2E-01,PRD §26.3.1,"Platform Admin creates/activates company; Owner enrolls MFA, accepts legal terms, completes onboarding","foundation,identity",1,E2E,PLANNED,
E2E-02,PRD §26.3.2,Company creates/provisions first project idempotently,projects,1,E2E,PLANNED,
E2E-03,PRD §26.3.3,"Manager builds/imports physical hierarchy and WBS, resolves validation, activates project",project-core,2,E2E,PLANNED,
E2E-04,PRD §26.3.4,"Coordinator assigns task; owner executes, blocks, reviews and completes it",tasks,2,E2E,PLANNED,
E2E-05,PRD §26.3.5,"Planner creates dependencies, receives cycle rejection, applies assisted schedule preview",project-core,2,E2E,PLANNED,
E2E-06,PRD §26.3.6,Manager creates and selects immutable baseline,project-core,2,E2E,PLANNED,
E2E-07,PRD §26.3.7,"User uploads quarantined file, creates controlled Document revision, issues a transmittal",documents,3,E2E,PLANNED,
E2E-08,PRD §26.3.8,Procurement creates RFQ/tender; supplier submits locked bid; clarification and approved preferred bidder complete without automatic PO,"procurement,tenders","4,6",E2E,PLANNED,
E2E-09,PRD §26.3.9,"PO, delivery, goods receipt, invoice and payment remain reconciled across owning domains","procurement,inventory,finance",4,E2E,PLANNED,
E2E-10,PRD §26.3.10,"QA inspection fails, creates corrective action, passes reinspection, updates handover readiness without changing physical progress truth",qaqc,3,E2E,PLANNED,
E2E-11,PRD §26.3.11,Company connection and project invitation expose only selected external projection; revocation removes access,"network,portals",6,E2E,PLANNED,
E2E-12,PRD §26.3.12,Professional connection proves no ERP access,network,6,E2E,PLANNED,
E2E-13,PRD §26.3.13,Candidate is marked Hired but no employee/account is created until HR/IT acts,"jobs,hr",6,E2E,PLANNED,
E2E-14,PRD §26.3.14,"Company enters read-only grace, all mutations fail consistently, then lock revokes sessions",foundation,1,E2E,PLANNED,
E2E-15,PRD §26.3.15,"Cross-tenant attack suite passes through UI, API, relation IDs, files, search, exports, jobs and events",platform,0-7,E2E,PLANNED,
FIN-01,PRD §26.4,Decimal precision/rounding by currency,finance,4,FINANCIAL,PLANNED,
FIN-02,PRD §26.4,Reversal instead of edit,finance,4,FINANCIAL,PLANNED,
FIN-03,PRD §26.4,Allocation cannot exceed allowed balance,finance,4,FINANCIAL,PLANNED,
FIN-04,PRD §26.4,Mixed-currency totals remain separated without approved conversion,finance,4,FINANCIAL,PLANNED,
